Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-DD-A3A6-01A-11R-A22L-07,0.002287785,0,0.026525599,0.116707551,0,0.253815945,0,0.026935802,0.135913356,0.008730222,0,0.177350408,0.014240575,0,0.016784811,0.136493521,0.009827638,0,0.074386787,0,0,0,0.05,0.172971975,1.049786607
TCGA-G3-AAV4-01A-11R-A38B-07,0.048700833,0,0.006509602,0,0,0.312885718,0,0.005093329,0.025133537,0.097455472,0,0.07128321,0.035328017,0,0.078039237,0.158049197,0,0,0.158102806,0,0,0.003419041,0.78,-0.015479466,1.102476471
TCGA-DD-A11D-01A-11R-A131-07,0.01003386,0,0,0.02998351,0,0.326076749,0,0,0.081590743,0,0,0.127322189,0.018026918,0.042178091,0.091221076,0.130145731,0.034857139,0,0.108563994,0,0,0,0.952,-0.040769535,1.122205819
TCGA-BD-A3EP-01A-11R-A22L-07,0.091983176,0.038243508,0.052605696,0.095553882,0,0.218136557,0,0.033388007,0.106001627,0,0,0.045772483,0.006330213,0.044312811,0.054674566,0.093826932,0.072957846,0,0.029237059,0,0,0.016975635,0.123,0.108930457,1.038945705
TCGA-EP-A12J-01A-11R-A131-07,0.076592474,0,0.002891282,0.139539117,0,0.114630778,0,0.012133088,0.030749288,0.018470704,0,0.094523211,0.025815748,0,0.146284717,0.22101814,0,0,0.117351453,0,0,0,0.655,-0.002441433,1.107020747
TCGA-4R-AA8I-01A-11R-A38B-07,0.073986143,0,0.010774959,0,0,0.111917928,0,0.073634182,0.069172102,0.015952802,0,0.093173383,0,0.158943227,0.1026083,0.207770031,0,0.037566809,0.044500132,0,0,0,0.321,0.044107725,1.080224659
TCGA-CC-A7IF-01A-11R-A33J-07,0.053331134,0,0,0.027254474,0,0.251220403,0,0,0.119594883,0,0,0.073311777,0.02933073,0.073348216,0.094686027,0.07102142,0.002461722,0,0.204439217,0,0,0,0.702,-0.007216758,1.096490878
TCGA-KR-A7K0-01A-12R-A33R-07,0.006467153,0,0,0.050836992,0,0.22057754,0,0.018760428,0.077324482,0,0,0.076884126,0.021155102,0.184218857,0.092443899,0.091778723,0.038907761,0,0.075006986,0,0.045058381,0.00057957,0.154,0.088378194,1.057826805
TCGA-CC-A5UE-01A-11R-A28V-07,0,0,0,0.119940852,0,0.226732515,0,0,0.122005329,0,0,0.036318433,0,0.235329826,0.047741591,0.165835644,0.029541065,0,0.01318524,0,0,0.003369504,0.57,0.006889766,1.108713393
TCGA-HP-A5MZ-01A-21R-A27V-07,0.02577888,0,0.003984757,0.04925574,0,0.249927606,0,0,0.094878259,0,0,0.04861122,0.007594747,0.072297258,0.103546581,0.19636397,0.062658496,0,0.085102487,0,0,0,0.122,0.110565143,1.043769988
TCGA-CC-A8HU-01A-11R-A36F-07,0.111708901,0,0.007383238,0.070607389,0,0.194746875,0,0,0.056305857,0,0,0.081638781,0.042475214,0.05460847,0.106391807,0.181708808,0,0,0.061689142,0.025625875,0,0.005109643,0.927,-0.035313877,1.104860234
TCGA-DD-AADO-01A-11R-A41C-07,0.009915866,0,0.005075249,0.205433016,0,0.005041753,0.015768521,0.100256077,0.125662665,0.050498591,0,0.046292792,0.00204994,0.251714821,0.051835101,0.097270977,0.010006011,0,0.023178621,0,0,0,0.237,0.061238614,1.085866142
TCGA-DD-AAD5-01A-11R-A41C-07,0.006570877,0,0.003394168,0,0,0.201933726,0,0,0.064826881,0,0.030815556,0.048634731,0.070209348,0.036780073,0.023080712,0.340563378,0,0.019046598,0.130993046,0,0.021986889,0.00116402,0.207,0.06940193,1.059219978
TCGA-LG-A6GG-01A-11R-A311-07,0.069547506,0,0.004815958,0.03072645,0,0.277760151,0,0.021398996,0.087241473,0,0,0.079785934,0.02912413,0.081255795,0.039297744,0.215249709,0.041698362,0,0.022097793,0,0,0,0.913,-0.032369465,1.103906782
TCGA-G3-A5SI-01A-31R-A27V-07,0.056969692,0,0,0.062782354,0,0.174432654,0,0.04428732,0.064055252,0,0.002957663,0.091166563,0.085293566,0.078005413,0.059325447,0.251766476,0.011373147,0,0.015082007,0,0,0.002502445,0.97,-0.044745302,1.111037014
TCGA-RG-A7D4-01A-12R-A33R-07,0.005786965,0.004113772,0.182232971,0.23412055,0,0,0.014078154,0.104788472,0.138614011,0,0,0.068388723,0.0147749,0.127322453,0.039587529,0.053420903,0.008857984,0,0.003912613,0,0,0,0.025,0.221136873,0.998603846
