"","cor","pvalue"
"IGLL5",0.598350556235255,3.05732237844019e-23
"IGSF6",0.601035317170135,5.60467575678717e-24
"IKZF1",0.760972119693651,9.96975155804742e-45
"IL10RA",0.610758330271869,6.60657015899674e-25
"IL12RB1",0.649382307075906,6.21057516049477e-29
"IL16",0.72146325571612,2.96147757048719e-38
"IL18BP",0.603732540886945,3.11989029299915e-24
"IL18RAP",0.678631093214966,2.93076519054481e-32
"IL21R",0.543197782428617,5.61142331426385e-19
"IL24",0.627079358026128,5.42442819639236e-26
"IL27RA",0.521370848366775,1.97302512389675e-17
"IL2RB",0.662090810578533,2.17286995756839e-30
"IL2RG",0.643949375062633,2.48107878036193e-28
"IL33",0.582906995618711,2.49901343796365e-22
"IL7R",0.742913245441024,2.85169223848404e-41
"INMT",0.55584636731244,4.74687082037034e-20
"INPP5D",0.650850589501963,4.25067399729066e-29
"IPCEF1",0.58833477745929,8.21872295991758e-23
"IRF8",0.514720462549615,5.84552862027811e-17
"ISLR",0.516973402708986,1.67663777204849e-16
"ITGA4",0.64730282068128,1.0587842315191e-28
"ITGA9",0.51483480822475,5.73852652145112e-17
"ITGAX",0.533378577496274,2.61118380630459e-18
"ITGB2",0.607329419753331,1.41608702920506e-24
"ITGBL1",0.57633152973691,3.18103469082897e-21
"ITK",0.715994129834783,2.73494199779609e-37
"ITM2A",0.544307683928649,4.6103978459164e-19
"ITPKB",0.600396357690052,6.43379538192868e-24
"ITPRIPL1",0.579489379510173,6.12437630103324e-22
"JAK3",0.617072688384428,1.583333161117e-25
"JAM2",0.592484608174669,4.30743964375871e-23
"JUNB",0.551541936618027,1.04720310433217e-19
"KCNA3",0.593079695392683,7.33489966953252e-23
"KCNE4",0.541162893334314,6.73796204740494e-19
"KCTD12",0.633774211331659,3.08362987516578e-27
"KIAA0748",0.672231279654798,8.17188154581941e-31
"KIAA1949",0.56012142818244,2.13882208927746e-20
"KIF17",0.515994083738994,4.75648491043001e-17
"KLF2",0.621983408565295,5.09686435952861e-26
"KLHL6",0.649840615969205,5.51858958156705e-29
"KLRC4-KLRK1",0.536792948000068,1.44764560349596e-18
"KLRG1",0.663843973679042,1.3507181232889e-30
"KLRK1",0.541040343795542,6.88507557687715e-19
"LAIR1",0.541345145078784,6.52486644351264e-19
"LAMA2",0.516931320895912,4.78190317577738e-17
"LAPTM5",0.631473478575183,5.38143847816634e-27
"LAX1",0.555611815167498,1.04639552182878e-19
"LBH",0.539169531079188,9.56379851762695e-19
"LCK",0.787856362501945,6.70877994002872e-50
"LCP1",0.582577913384433,2.6715357345673e-22
"LCP2",0.704210885330163,9.08917479300366e-36
"LDB2",0.508609619830043,1.55331611192325e-16
"LDHB",0.543180434775654,4.71575645558842e-19
"LGALS2",0.534867281073821,2.84263140579746e-18
"LHFP",0.5815084573658,3.31707078407797e-22
"LILRA5",0.502896730067174,7.9742820641385e-16
"LILRB1",0.540052260650591,8.19216683452191e-19
"LILRB2",0.512807242875084,7.95471613868758e-17
"LILRB4",0.53059931267469,4.19984785492196e-18
"LIMD2",0.5720879807024,2.15777759979692e-21
"LMO2",0.595882911151023,1.69009011113828e-23
"LOC100128420",0.684130406697751,1.96000850341218e-31
"LOC100130231",0.708107616633026,2.58624913585337e-36
"LOC100188949",0.569433701071,7.9922283000051e-21
"LOC100233209",0.722569182057897,2.0215391766981e-38
"LOC100505746",0.625066962880089,2.47582441082133e-26
"LOC100506776",0.621059321946335,8.07897283012945e-26
"LOC100506939",0.557367945889186,5.21418590648948e-20
"LOC145820",0.526187327958088,1.22931754078915e-17
"LOC283663",0.511827098684074,9.30778470473876e-17
"LOC283888",0.528072543744423,1.05930094841638e-17
"LOC285972",0.551678943014948,1.47452374595174e-19
"LOC374443",0.503905751419077,3.25261779042777e-16
"LOC400456",0.550671832912072,5.29842378247362e-19
"LOC439949",0.539595281206539,1.78194107379e-18
"LOC606724",0.623533077143345,3.5493202726958e-26
"LOC643733",0.530588601754536,4.20751154422987e-18
"LOC96610",0.504458502544767,2.98381041931337e-16
"LOXL1",0.50947236408957,1.83749823887231e-16
"LPAR6",0.541515519362978,6.33164591994854e-19
"LPXN",0.554426297016822,6.1705064795314e-20
"LRMP",0.591622876409627,4.14755759722821e-23
"LRRC32",0.545468960006947,3.13684729551208e-19
"LRRC33",0.608097928782394,1.19461413808573e-24
"LRRC70",0.547153623802317,2.31893493041474e-19
"LRRC8C",0.622259312479198,4.77954759305027e-26
"LSP1",0.631432230611391,5.43520005918738e-27
"LST1",0.642302765237917,3.7544983238798e-28
"LTA",0.666186185526229,1.28587747346211e-30
"LTB",0.715356019736522,2.36051082957777e-37
"LTBP2",0.533596331262268,2.51527852265563e-18
"LUM",0.583035937353009,3.00290844874113e-22
"LXN",0.573105773682022,1.76765671734826e-21
"LY86",0.645572766793278,1.64506657088424e-28
"LY9",0.698252829973038,5.97192136815991e-35
"LYL1",0.545162121463545,3.31368528079744e-19
"MAL",0.649474321602463,1.05178575646036e-25
"MAP4K1",0.643689970654176,2.64884566655234e-28
"MATK",0.562262706459351,1.42847149953108e-20
"MCOLN2",0.5179043119394,3.48569765267465e-17
"MEF2C",0.592198061333547,3.67694805517473e-23
"MEOX1",0.530659915762894,2.74649267924364e-16
"MFAP4",0.621809117273862,5.30791284762472e-26
"MGP",0.56228786385789,1.42168848589508e-20
"MIAT",0.577250483044489,7.79083060168617e-22
"MIR155HG",0.51943481436595,3.18221438083619e-17
"MIR4649",0.531410245472363,1.96469944572473e-17
"MMP2",0.565473407224333,7.75585400451148e-21
"MMP23B",0.506160634495206,6.53852954812486e-16
