"","cor","pvalue"
"KCNA3",0.551073535057958,2.22520447550848e-30
"SHISA3",0.531815783001659,4.88191564274627e-28
"KCTD12",0.501996224968799,1.07310441454153e-24
"HLA-DQB1",0.595748711844386,1.94884187089267e-36
"GPBAR1",0.512639587396834,7.50595308891938e-26
"SEPTIN1",0.602031256361122,2.29282465725349e-37
"HCLS1",0.695777288641182,4.0520952424666e-54
"PRF1",0.644398985941722,3.28067122140998e-44
"P2RY13",0.560239315803625,1.50915233571462e-31
"SLC9A9",0.515569625457025,3.54969471029026e-26
"TIGIT",0.569182296156779,1.00690282299705e-32
"CSF1R",0.528951300832478,1.05719065483687e-27
"LCK",0.7699876758993,7.92164540600893e-73
"GPR132",0.608079899874494,2.79195668549733e-38
"CCR4",0.513382426132937,6.21231257480597e-26
"SH2D1A",0.696696709554328,2.57783124360272e-54
"CLECL1",0.527400955969045,1.60118643995615e-27
"STING1",0.572127075555249,4.05441723063425e-33
"FMNL1",0.503735776904006,6.99181178057684e-25
"PDE6G",0.595668978398306,2.00189267989274e-36
"SNAI3",0.53556967451222,1.75373633579583e-28
"IKZF1",0.673479172279138,1.42513001292562e-49
"EVI2B",0.66909487402105,1.00284589212204e-48
"C16orf54",0.695854311947791,3.90169152786573e-54
"CD300LF",0.569247407854655,9.86950402408456e-33
"BTLA",0.567506068101855,1.68304671062174e-32
"GNG2",0.543729045488211,1.81178851039309e-29
"ARHGAP30",0.619475660345885,4.66277361412118e-40
"CXCR3",0.664833163867258,6.47365731057344e-48
"SEMA4D",0.526192570770445,2.20964161964493e-27
"SELL",0.504707495296836,5.49788232813851e-25
"HACD4",0.518830708678487,1.52935780483379e-26
"HLA-DRB1",0.58538503024857,6.01193072787608e-35
"S100A4",0.642659731066152,6.58110217777697e-44
"HLA-DQA1",0.634342295263613,1.72757058555198e-42
"SPN",0.63741136908648,5.23433132932104e-43
"GZMM",0.695550810177357,4.52845854339163e-54
"MPEG1",0.604285313722903,1.05166249490431e-37
"CLEC9A",0.557424341990407,3.47936073944038e-31
"CARD11",0.51213777820446,8.52684443767864e-26
"RCSD1",0.548120656019467,5.20280492987246e-30
"CD247",0.763091630898968,8.38486709425142e-71
"CD3E",0.804627329563654,3.47989386281298e-84
"GGTA1",0.663231914310211,1.29425087732175e-47
"HLA-DOA",0.593210342198427,4.56585872713564e-36
"HLA-DRA",0.574484826461283,1.94420497698083e-33
"CARD16",0.625940961451284,4.24111784086071e-41
"AIF1",0.640266282866613,1.7028038655814e-43
"NCR3",0.815345591474553,3.59042358901424e-88
"LST1",0.692835556133427,1.70288420092709e-53
"SLFN12L",0.634062148928725,1.92521915136312e-42
"TMSB4X",0.500964194474656,1.38203572616458e-24
"ARRDC5",0.507302452495571,2.8824943952006e-25
"CRIP1",0.565688074480954,2.9284510749704e-32
"GIMAP1",0.651927312168722,1.52877339736534e-45
"GPSM3",0.709884313994658,3.23200858665962e-57
"C10orf105",0.503206611832045,7.96707601960156e-25
"HLA-DPB1",0.667136017583684,2.37230158436735e-48
"LTA",0.626873150222047,2.98771372451454e-41
"LTB",0.666808430718984,2.73795932688337e-48
"HLA-DPA1",0.552537155912707,1.45604395797974e-30
"NFAM1",0.535592797135937,1.74264246066745e-28
"APOBEC3G",0.586292959093474,4.47383715760829e-35
"LILRA4",0.506744539029581,3.31331394544029e-25
"TNFRSF13B",0.555454716130369,6.21269690461154e-31
"INMT",0.512980454112137,6.88229834603329e-26
"PLEKHO2",0.556179504628167,5.02138979937046e-31
"HLA-DMB",0.601339035775464,2.90926607903661e-37
"APOBEC3C",0.570440164736249,6.83476087299013e-33
"TIFAB",0.541031059063934,3.86431314393199e-29
"CCL5",0.736667961600504,1.21182079305569e-63
"MILR1",0.500757206511868,1.45382377923275e-24
"CCL4",0.566564450473401,2.24320541785688e-32
